"Institution","Service","Mode","URL"
"Arizona State University","Aerial_imagery",NA,"https://lib.asu.edu/geo"
"Arizona State University","Data_analysis","Instruction","https://lib.asu.edu/data/open-lab"
"Arizona State University","Data_management_plans","Consult","https://libguides.asu.edu/data"
"Arizona State University","Data_management_plans","Web","https://libguides.asu.edu/c.php?g=264208&p=1763700"
"Arizona State University","Data_management","Web","https://libguides.asu.edu/c.php?g=264208&p=1763700"
"Arizona State University","Data_repository",NA,"https://lib.asu.edu/research/store"
"Arizona State University","Data_visualization_software","Consult","https://lib.asu.edu/data/open-lab"
"Arizona State University","DMPTool",NA,"https://libguides.asu.edu/data/start/dmptool"
"Arizona State University","Geospatial","Consult","https://lib.asu.edu/geo/services"
"Arizona State University","Geospatial_software","Consult","https://lib.asu.edu/geo/services"
"Arizona State University","Geospatial_software","Instruction","https://lib.asu.edu/geo/software"
"Michigan State University","Data_management","Consult","https://lib.msu.edu/rdmg/advising/"
"Michigan State University","Data_management_plans","Consult","https://lib.msu.edu/rdmg/advising/"
"Michigan State University","Data_management","Web","https://lib.msu.edu/rdmg/resources/"
"Michigan State University","Data_visualization_software","Consult","http://digitalscholarshiplab.msu.edu/using-the-lab/experts/; https://lib.msu.edu/about/data/"
"Michigan State University","Geospatial","Instruction","http://libguides.lib.msu.edu/gis"
"Michigan State University","Geospatial_software","Instruction","http://libguides.lib.msu.edu/gis"
"Michigan State University","Geospatial_software","Web","http://libguides.lib.msu.edu/c.php?g=95932&p=1493888"
"Ohio State University","Data_management_plans","Consult","https://library.osu.edu/researchcommons/help/managing-data"
"Ohio State University","Data_management","Web","https://guides.osu.edu/IntroDataManagement"
"Ohio State University","Data_repository",NA,"https://library.osu.edu/site/osulstaff/2020/01/31/ohio-state-new-institutional-member-of-dryad-open-data-repository/"
"Ohio State University","Data_visualization_software","Consult","https://library.osu.edu/researchcommons/help/visualizing-data"
"Ohio State University","DMPTool",NA,"https://library.osu.edu/researchcommons/2018/03/09/new-dmptool"
"Ohio State University","Geospatial","Consult","https://library.osu.edu/researchcommons/help/gis-and-mapping"
"Ohio State University","Geospatial_software","Consult","https://library.osu.edu/researchcommons/help/gis-and-mapping"
"Ohio State University","Geospatial_software","Web","http://guides.osu.edu/maps-geospatial-data/software-tools"
"Ohio State University","Text_data_mining",NA,"https://research.osu.edu/collaborative-archive-and-data-research-environment-cadre-services-now-available/"
"Ohio State University","Web_scraping",NA,"https://library.osu.edu/researchcommons/project-intake"
"Oregon State University","Aerial_imagery",NA,"https://guides.library.oregonstate.edu/c.php?g=285932&p=1906685; https://spatialdata.oregonexplorer.info/geoportal/"
"Oregon State University","Carpentries",NA,"https://library.oregonstate.edu/researcher-support"
"Oregon State University","Data_management_plans","Consult","https://guides.library.oregonstate.edu/friendly.php?s=dmp"
"Oregon State University","Data_management_plans","Web","https://guides.library.oregonstate.edu/friendly.php?s=dmp"
"Oregon State University","Data_management","Web","https://guides.library.oregonstate.edu/research-data-services/managing-data"
"Oregon State University","Data_repository",NA,"https://guides.library.oregonstate.edu/research-data-services/data-management-data-repositories"
"Oregon State University","DMPTool",NA,"https://guides.library.oregonstate.edu/friendly.php?s=dmp"
"Oregon State University","Geospatial","Web","https://guides.library.oregonstate.edu/c.php?g=285915&p=1905258"
"Oregon State University","Version_control",NA,"https://osulp.github.io/workshop_intro_to_git/"
"Pennsylvania State University","Aerial_imagery",NA,"http://guides.libraries.psu.edu/aerialphotographs"
"Pennsylvania State University","Data_analysis","Consult","https://guides.libraries.psu.edu/c.php?g=894031&p=6889383"
"Pennsylvania State University","Data_analysis","Instruction","https://libraries.psu.edu/about/departments/research-informatics-and-publishing/training-events"
"Pennsylvania State University","Data_analysis","Web","https://guides.libraries.psu.edu/c.php?g=894031&p=6429300"
"Pennsylvania State University","Data_management","Consult","https://libraries.psu.edu/research/research-data-services/data-management"
"Pennsylvania State University","Data_management_plans","Consult","http://guides.libraries.psu.edu/dmptoolkit; https://libraries.psu.edu/research/research-data-services/data-management"
"Pennsylvania State University","Data_management","Web","http://guides.libraries.psu.edu/dmptoolkit"
"Pennsylvania State University","Data_visualization_software","Consult","https://guides.libraries.psu.edu/data-analytics-visualization; https://libraries.psu.edu/about/departments/research-informatics-and-publishing/advanced-analytics-and-visualization-digital"
"Pennsylvania State University","Data_visualization_software","Instruction","https://guides.libraries.psu.edu/data-analytics-visualization"
"Pennsylvania State University","Geospatial","Consult","https://libraries.psu.edu/about/libraries/donald-w-hamer-center-maps-and-geospatial-information/request-geospatial-or-maps"
"Pennsylvania State University","Statistical_consulting",NA,"https://libraries.psu.edu/research/research-data-services/statistical-consultations"
"Stanford University","Carpentries",NA,"https://library.stanford.edu/research/data-management-services/events"
"Stanford University","Data_analysis","Consult","https://ssds.stanford.edu/consulting-workshops/walk-consulting"
"Stanford University","Data_analysis","Instruction","https://library.stanford.edu/research/cidr/workshops"
"Stanford University","Data_management","Consult","https://library.stanford.edu/research/data-management-services"
"Stanford University","Data_management_plans","Consult","https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services"
"Stanford University","Data_management_plans","Instruction","https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services"
"Stanford University","Data_management_plans","Web","https://library.stanford.edu/research/data-management-services/data-management-plans"
"Stanford University","Data_management","Web","https://library.stanford.edu/research/data-management-services/data-best-practices; https://www.dataone.org/all-best-practices"
"Stanford University","Data_visualization_software","Instruction","https://library.stanford.edu/events/data-visualization-tableau"
"Stanford University","DMPTool",NA,"https://library.stanford.edu/research/data-management-services/data-management-plans/dmptool"
"Stanford University","Electronic_lab_notebooks",NA,"https://library.stanford.edu/science/software/chemoffice-professional"
"Stanford University","Geospatial","Consult","https://library.stanford.edu/research/stanford-geospatial-center/services; https://library.stanford.edu/rumsey/using-center/teaching-researching-and-consulting"
"Stanford University","Geospatial","Instruction","https://library.stanford.edu/research/stanford-geospatial-center/workshops"
"Stanford University","Geospatial_software","Instruction","https://library.stanford.edu/research/stanford-geospatial-center/workshops"
"Stanford University","Geospatial_software","Web","https://library.stanford.edu/research/stanford-geospatial-center/software"
"Stanford University","Statistical_consulting",NA,"https://library.stanford.edu/research/cidr/consulting"
"Stanford University","Version_control",NA,"https://library.stanford.edu/events/introduction-git-github-organizing-your-stuff-1"
"Stanford University","Web_scraping",NA,"https://library.stanford.edu/research/cidr/consulting"
"Texas A&M University","Aerial_imagery",NA,"http://tamu.libguides.com/aerialphotos"
"Texas A&M University","Data_management","Instruction","http://tamu.libguides.com/research-data-management/workshops; https://tamu.libguides.com/research-data-management/workshops"
"Texas A&M University","Data_management_plans","Consult","https://library.tamu.edu/services/scholarly_communication/Data_Management/planning.html"
"Texas A&M University","Data_management_plans","Instruction","http://tamu.libguides.com/research-data-management/workshops; https://tamu.libguides.com/research-data-management/workshops"
"Texas A&M University","Data_management_plans","Web","https://tamu.libguides.com/research-data-management/dmps"
"Texas A&M University","Data_management","Web","https://tamu.libguides.com/research-data-management/overview"
"Texas A&M University","Data_repository",NA,"http://tamu.libguides.com/research-data-management/repositories; https://tamu.libguides.com/research-data-management/repositories"
"Texas A&M University","DMPTool",NA,"https://tamu.libguides.com/research-data-management/dmps"
"Texas A&M University","Geospatial_software","Instruction","http://tamu.libguides.com/gis/tutorials"
"University of Arizona","Aerial_imagery",NA,"https://libguides.library.arizona.edu/GIS/ImageryandLidar"
"University of Arizona","Data_analysis","Consult","https://new.library.arizona.edu/research/support/data"
"University of Arizona","Data_management","Consult","https://data.library.arizona.edu/; https://data.library.arizona.edu/our-services"
"University of Arizona","Data_management_plans","Consult","https://data.library.arizona.edu/our-services"
"University of Arizona","Data_management_plans","Web","https://data.library.arizona.edu/data-management-plans"
"University of Arizona","Data_management","Web","https://data.library.arizona.edu/best-practices"
"University of Arizona","Data_repository",NA,"https://data.library.arizona.edu/services/ua-research-data-repository"
"University of Arizona","DMPTool",NA,"https://data.library.arizona.edu/data-management-plans/dmptool"
"University of Arizona","Geospatial","Consult","https://libguides.library.arizona.edu/GIS/Help"
"University of Arizona","Geospatial","Instruction","https://libguides.library.arizona.edu/GIS/tutorials"
"University of Arizona","Geospatial_software","Consult","https://libguides.library.arizona.edu/GIS/Help"
"University of Arizona","Geospatial_software","Instruction","https://libguides.library.arizona.edu/GIS/tutorials"
"University of Arizona","Geospatial_software","Web","https://libguides.library.arizona.edu/GIS/software"
"University of Arizona","OSF",NA,"https://data.library.arizona.edu/best-practices/open-science-framework-osf"
"University of Arizona","Reproducible_research",NA,"https://data.library.arizona.edu/best-practices/data-publishing-reproducibility"
"University of Arizona","Text_data_mining",NA,"https://libguides.library.arizona.edu/text-mining"
"University of California, Berkeley","Aerial_imagery",NA,"https://guides.lib.berkeley.edu/c.php?g=130718&p=3874462"
"University of California, Berkeley","Data_management","Consult","https://guides.lib.berkeley.edu/researchdata; https://researchdata.berkeley.edu/services"
"University of California, Berkeley","Data_management_plans","Consult","https://guides.lib.berkeley.edu/researchdata; https://researchdata.berkeley.edu/services/data-management-plans"
"University of California, Berkeley","Data_management","Web","https://guides.lib.berkeley.edu/researchdata; https://researchdata.berkeley.edu/services"
"University of California, Berkeley","Data_visualization_software","Web","https://guides.lib.berkeley.edu/data-visualization/about"
"University of California, Berkeley","DMPTool",NA,"https://researchdata.berkeley.edu/services/data-management-plans"
